Kommunekode,Vejkode,Lokalitetsnavn,Lokalitetsnummer
,,,
,,,
901,1010,,
901,1028,,
901,1030,,
901,1091,,
901,1100,,
901,1130,,
901,1170,,
903,1000,,
903,1040,,
903,1126,,
903,1140,,
903,1160,,
903,1201,,
903,1205,,
903,1310,,
903,1340,,
903,2010,,
905,1080,,
905,1120,,
905,1190,,
905,2010,,
907,1080,,
907,1460,,
907,1470,,
909,1030,,
909,1052,,
909,1053,,
909,1056,,
909,1080,,
909,1082,,
909,1103,,
909,1110,,
909,1115,,
909,1140,,
909,1160,,
909,1177,,
909,1178,,
909,1180,,
909,1190,,
909,1210,,
909,1220,,
909,1260,,
909,1280,,
909,1303,,
909,1304,,
909,1306,,
909,1315,,
909,1324,,
909,1327,,
909,1343,,
909,1344,,
909,1350,,
909,1360,,
909,1370,,
909,1375,,
909,1377,,
909,1385,,
909,1390,,
909,1420,,
909,1430,,
909,1501,,
909,1520,,
909,2010,,
909,2070,,
909,3020,,
909,9997,,
909,9998,,
911,1040,,
911,1070,,
911,1290,,
911,1305,,
911,1360,,
911,1386,,
911,1390,,
911,1440,,
911,1505,,
911,1515,,
911,2010,,
911,3080,,
915,1040,,
915,1060,,
915,1080,,
915,1120,,
915,1130,,
915,1140,,
915,1210,,
915,1240,,
915,1250,,
915,1280,,
915,1295,,
915,1330,,
915,1350,,
915,1390,,
915,1400,,
915,1410,,
915,1440,,
915,1465,,
915,1500,,
915,1520,,
915,2010,,
915,2030,,
917,1020,,
917,1080,,
917,1110,,
917,1160,,
917,1181,,
917,1210,,
917,1220,,
917,1234,,
917,1240,,
917,1250,,
917,1360,,
917,1998,,
917,2020,,
917,2170,,
919,1998,,
919,2010,,
919,2040,,
919,2050,,
919,2060,,
921,1050,,
921,1080,,
921,1220,,
921,1240,,
921,1280,,
921,2010,,
921,2020,,
921,2140,,
921,2170,,
923,1030,,
923,1093,,
923,1135,,
923,1225,,
923,1250,,
923,1260,,
923,1340,,
923,1999,,
923,2100,,
923,3010,,
925,1070,,
925,1130,,
925,1180,,
925,1200,,
925,1300,,
925,1310,,
925,1330,,
925,1370,,
925,1400,,
925,1420,,
925,1440,,
925,2010,,
925,2020,,
925,9998,,
927,1008,,
927,1060,,
927,1130,,
927,1200,,
927,1285,,
927,1390,,
927,1400,,
927,2030,,
927,2040,,
927,2060,,
927,2070,,
929,1030,,
929,1130,,
929,1150,,
929,1190,,
929,2010,,
929,2020,,
929,2030,,
929,2050,,
929,2070,,
929,2080,,
929,2110,,
929,2130,,
941,1998,,
941,2010,,
951,1006,,
951,1007,,
951,1030,,
951,1040,,
951,1070,,
951,1240,,
951,2250,,
951,2300,,
951,2500,,
953,1902,,
953,1907,,
953,1908,,
953,1910,,
953,1911,,
953,1998,,
955,119,,
955,185,,
957,160,,
958,132,,
955,100,Nanortalik,100
955,106,Nanortalik,100
955,114,Nanortalik,100
955,136,Nanortalik,100
955,141,Nanortalik,100
955,145,Nanortalik,100
955,16,Nanortalik,100
955,161,Nanortalik,100
955,173,Nanortalik,100
955,178,Nanortalik,100
955,188,Nanortalik,100
955,204,Nanortalik,100
955,205,Nanortalik,100
955,207,Nanortalik,100
