010,9040,B-9040,A8 ETAPE II,0,,,3922,NANORTALIK
010,134,B-0134,A8 OMRÅDET,0,,,3922,NANORTALIK
010,1455,B-1455,A8 OMRÅDET,0,GADE,,3922,NANORTALIK
010,1455,B-1455,A8 OMRÅDET,0,Produktion,,3922,NANORTALIK
010,1478,B-1478,A8 OMRÅDET,0,,,3922,NANORTALIK
010,9004,B-9004,A8 OMRÅDET,0,FIKTI,,3922,NANORTALIK
010,247,B-0247,ALUMMIU,0,A,,3922,NANORTALIK
010,247,B-0247,ALUMMIU,0,B,,3922,NANORTALIK
010,248,B-0248,ALUMMIU,0,A,,3922,NANORTALIK
010,248,B-0248,ALUMMIU,0,B,,3922,NANORTALIK
010,250,B-0250,ALUMMIU,0,A,,3922,NANORTALIK
010,250,B-0250,ALUMMIU,0,B,,3922,NANORTALIK
010,251,B-0251,ALUMMIU,0,A,,3922,NANORTALIK
010,251,B-0251,ALUMMIU,0,B,,3922,NANORTALIK
010,322,B-0322,ALUMMIU,0,,,3922,NANORTALIK
010,323,B-0323,ALUMMIU,0,,,3922,NANORTALIK
010,324,B-0324,ALUMMIU,0,,,3922,NANORTALIK
010,325,B-0325,ALUMMIU,0,,,3922,NANORTALIK
010,1165,B-1165,ALUMMIU,0,,,3922,NANORTALIK
010,1620,B-1620,ALUMMIU,0,,,3922,NANORTALIK
010,1640,B-1640,ALUMMIU,0,,,3922,NANORTALIK
010,9001,B-9001,BRANDSIRENE STENBRUD,0,,,3922,NANORTALIK
010,57156,B-7156,Byggestrøm,0,,,3922,NANORTALIK
010,57175,B-7175,BYGGESTRØM,0,,,3922,NANORTALIK
010,3,B-0003,CHEMNITZIP AQQ.,0,,2,3922,NANORTALIK
010,107,B-0107,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,203,B-0203,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,204,B-0204,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,252,B-0252,CHEMNITZIP AQQ.,0,A,,3922,NANORTALIK
010,252,B-0252,CHEMNITZIP AQQ.,0,A+B,,3922,NANORTALIK
010,252,B-0252,CHEMNITZIP AQQ.,0,B,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,1,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,101,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,102,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,103,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,104,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,105,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,106,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,2,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,3,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,4,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,5,,3922,NANORTALIK
010,277,B-0277,CHEMNITZIP AQQ.,0,6,,3922,NANORTALIK
010,309,B-0309,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,1,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,10,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,103,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,104,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,105,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,106,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,107,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,108,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,109,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,11,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,115,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,116,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,117,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,118,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,119,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,12,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,120,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,13,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,14,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,15,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,16,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,17,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,18,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,19,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,20,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,3,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,4,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,5,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,6,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,7,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,8,,3922,NANORTALIK
010,480,B-0480,CHEMNITZIP AQQ.,0,9,,3922,NANORTALIK
010,542,B-0542,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,543,B-0543,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,545,B-0545,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,547,B-0547,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,639,B-0639,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,723,B-0723,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,1142,B-1142,CHEMNITZIP AQQ.,0,INTER,,3922,NANORTALIK
010,1530,B-1530,CHEMNITZIP AQQ.,0,,,3922,NANORTALIK
010,35578,B-5578,Container,0,Fikt.B.br,,3922,NANORTALIK
010,176,B-0176,GUSTAV HOLMIP AQQ.,0,,,3922,NANORTALIK
010,339,B-0339,GUSTAV HOLMIP AQQ.,0,,,3922,NANORTALIK
010,343,B-0343,GUSTAV HOLMIP AQQ.,0,,,3922,NANORTALIK
010,420,B-0420,GUSTAV HOLMIP AQQ.,0,,,3922,NANORTALIK
010,425,B-0425,GUSTAV HOLMIP AQQ.,0,,,3922,NANORTALIK
010,515,B-0515,GUSTAV HOLMIP AQQ.,0,,,3922,NANORTALIK
010,1129,B-1129,GUSTAV HOLMIP AQQ.,0,,,3922,NANORTALIK
010,1599,B-1599,Havnen,0,,,3922,NANORTALIK
010,995,B-0995,HAVNEVEJ,0,,,3922,NANORTALIK
010,196,B-0196,IANAP AQQ.,0,,,3922,NANORTALIK
010,313,B-0313,IANAP AQQ.,0,,,3922,NANORTALIK
010,658,B-0658,IANAP AQQ.,0,,,3922,NANORTALIK
010,666,B-0666,IANAP AQQ.,0,,,3922,NANORTALIK
010,669,B-0669,IANAP AQQ.,0,,,3922,NANORTALIK
010,727,B-0727,IANAP AQQ.,0,,,3922,NANORTALIK
010,1144,B-1144,IANAP AQQ.,0,,,3922,NANORTALIK
010,64,B-0064,ILIVILEQ,0,,,3922,NANORTALIK
010,64,B-0064,ILIVILEQ,0,1,,3922,NANORTALIK
010,64,B-0064,ILIVILEQ,0,101,,3922,NANORTALIK
010,64,B-0064,ILIVILEQ,0,102,,3922,NANORTALIK
010,64,B-0064,ILIVILEQ,0,103,,3922,NANORTALIK
010,64,B-0064,ILIVILEQ,0,2,,3922,NANORTALIK
010,64,B-0064,ILIVILEQ,0,3,,3922,NANORTALIK
010,64,B-0064,ILIVILEQ,0,4,,3922,NANORTALIK
